"ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ (ΠΑΜΑΚ)
Διεθνών και Ευρωπαϊκών Σπουδών
Ειδικό μάθημα: Ένα από τα Αγγλικά, Γαλλικά, Γερμανικά, Ιταλικά",Θεσσαλονίκη,18.895
"ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ)
Αγγλικής Γλώσσας και Φιλολογίας
Ειδικό μάθημα: Αγγλικά",Θεσσαλονίκη,18.55
"ΣΤΡΑΤΙΩΤΙΚΗ ΣΧΟΛΗ ΑΞΙΩΜΑΤΙΚΩΝ ΣΩΜΑΤΩΝ (ΣΣΑΣ)
Ψυχολόγων (ΣΣΑΣ)
Ισχύουν επιπλέον προϋποθέσεις",Θεσσαλονίκη,18.295
"ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ)
Νομικής",Αθήνα,18.025
"ΣΤΡΑΤΙΩΤΙΚΗ ΣΧΟΛΗ ΑΞΙΩΜΑΤΙΚΩΝ ΣΩΜΑΤΩΝ (ΣΣΑΣ)
Νομικό (ΣΣΑΣ)
Ισχύουν επιπλέον προϋποθέσεις",Θεσσαλονίκη,17.93
"ΠΥΡΟΣΒΕΣΤΙΚΗ ΑΚΑΔΗΜΙΑ (ΣΠΑ)
Αξιωματικών Πυροσβεστικής Ακαδημίας (Μόνο για Πολίτες)
Ισχύουν επιπλέον προϋποθέσεις",(μη προσδιορισμένη),17.85
"ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ)
Αγγλικής Γλώσσας και Φιλολογίας
Ειδικό μάθημα: Αγγλικά",Αθήνα,17.715
"ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ)
Ψυχολογίας",Αθήνα,17.595
"ΑΣΤΥΝΟΜΙΚΕΣ ΣΧΟΛΕΣ
Αξιωματικών Ελληνικής Αστυνομίας (Μόνο για Πολίτες)
Ισχύουν επιπλέον προϋποθέσεις",(μη προσδιορισμένη),17.5
"ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ)
Νομικής",Θεσσαλονίκη,17.34
"ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ)
Ψυχολογίας",Θεσσαλονίκη,17.34
