Όνομα Σχολής,Πόλη,Μόρια
ΕΜΠ - Αρχιτεκτόνων Μηχανικών,Αθήνα,21675
ΑΠΘ - Αρχιτεκτόνων Μηχανικών,Θεσσαλονίκη,21550
Παν. Ιωαννίνων - Αρχιτεκτόνων Μηχανικών,Ιωάννινα,21120
Παν. Θεσσαλίας - Αρχιτεκτόνων Μηχανικών,Βόλος,20995
Παν. Πατρών - Αρχιτεκτόνων Μηχανικών,Πάτρα,20870
ΔΠΘ - Αρχιτεκτόνων Μηχανικών,Ξάνθη,20695
Πολυτεχνείο Κρήτης - Αρχιτεκτόνων Μηχανικών,Χανιά,20445
ΠΑΔΑ - Γραφιστικής και Οπτικής Επικοινωνίας,Αιγάλεω,19405
ΔΙΠΑΕ - Εσωτερικής Αρχιτεκτονικής,Σέρρες,18765
ΠΑΔΑ - Εσωτερικής Αρχιτεκτονικής,Αιγάλεω,18655
ΠΑΔΑ - Συντήρησης Αρχαιοτήτων και Έργων Τέχνης,Αιγάλεω,17740
ΠΑΔΑ - Φωτογραφίας και Οπτικοακουστικών Τεχνών,Αιγάλεω,15200
Παν. Δυτικής Μακεδονίας - Μηχανικών Σχεδίασης Προϊόντων,Κοζάνη,15150
ΠΑΔΑ - Μηχανικών Βιομηχανικής Σχεδίασης,Αιγάλεω,14956
ΑΣΚΤ - Θεωρίας και Ιστορίας της Τέχνης,Αθήνα,14875
Παν. Πελοποννήσου - Παραστατικών και Ψηφιακών Τεχνών,Ναύπλιο,13390
Ιόνιο Παν. - Τεχνών Ήχου και Εικόνας,Κέρκυρα,13280
Ιόνιο Παν. - Περιβάλλοντος,Ζάκυνθος,12950
Παν. Θεσσαλίας - Πολιτισμού & Δημιουργικών Μέσων,Βόλος,12800
ΔΙΠΑΕ - Δημιουργικού Σχεδιασμού και Ένδυσης,Κιλκίς,12675
Ιόνιο Παν. - Ψηφιακών Μέσων και Επικοινωνίας,Αργοστόλι,12615
Παν. Δυτικής Μακεδονίας - Επικοινωνίας & Ψηφιακών Μέσων,Καστοριά,12550
Παν. Θεσσαλίας - Δασολογίας και Ξύλου,Καρδίτσα,12140
Ιόνιο Παν. - Αρχειονομίας και Μουσειολογίας,Κέρκυρα,11960
"Πάντειο - Επικοινωνίας, Μέσων και Πολιτισμού",Αθήνα,10140
