Όνομα Σχολής,Πόλη,Βάση
"ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ)
Μηχανολόγων Μηχανικών",Θεσσαλονίκη,18300
"ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ)
Ναυπηγών Μηχανολόγων Μηχανικών",Αθήνα,18000
"ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ)
Μηχανολόγων Μηχανικών",Αθήνα,18000
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ
Μηχανολόγων Μηχανικών",Βόλος,17790
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ
Μηχανολόγων και Αεροναυπηγών Μηχανικών",Πάτρα,17475
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ
Μηχανολόγων Μηχανικών",Αιγάλεω,17150
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
Μηχανολόγων Μηχανικών",Κοζάνη,16925
"ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ)
Μηχανολόγων Μηχανικών",Σέρρες,16640
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ
Μηχανολόγων Μηχανικών",Πάτρα,16540
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ
Ναυπηγών Μηχανικών",Αιγάλεω,16520
"ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ (ΕΛΜΕΠΑ)
Μηχανολόγων Μηχανικών",Ηράκλειο,16200
"ΑΣΠΑΙΤΕ
Εκπαιδευτικών Μηχανολόγων Μηχανικών",Αθήνα,15870
"ΔΙΠΑΕ
Μηχανικών Παραγωγής και Διοίκησης",Θεσσαλονίκη,15780
