ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Αρχιτεκτόνων Μηχανικών Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Πάτρα;18.554
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ) Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Αθήνα;18.490
ΣΧΟΛΗ ΙΚΑΡΩΝ (ΣΙ) Ικάρων (ΣΙ) Έρευνας Πληροφορικής (ΕΠ) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);18.435
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ) Μηχανολόγων Μηχανικών;Αθήνα;18.230
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Θεσσαλονίκη;17.920
ΠΥΡΟΣΒΕΣΤΙΚΗ ΑΚΑΔΗΜΙΑ (ΣΠΑ) Αξιωματικών Πυροσβεστικής Ακαδημίας (Μόνο για Πολίτες) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);17.850
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ) Ναυπηγών Μηχανολόγων Μηχανικών;Αθήνα;17.760
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ) Χημικών Μηχανικών;Αθήνα;17.510
ΑΣΤΥΝΟΜΙΚΕΣ ΣΧΟΛΕΣ Αξιωματικών Ελληνικής Αστυνομίας (Μόνο για Πολίτες) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);17.500
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Βιολογίας;Αθήνα;17.493
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Μηχανολόγων Μηχανικών;Θεσσαλονίκη;17.450
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Πληροφορικής;Θεσσαλονίκη;17.440
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Αρχιτεκτόνων Μηχανικών Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Θεσσαλονίκη;17.365
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Βιολογίας;Θεσσαλονίκη;17.322
ΣΧΟΛΗ ΙΚΑΡΩΝ (ΣΙ) Ικάρων (ΣΙ) Μετεωρολόγων (ΜΤ) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);17.280
