Όνομα Σχολής,Πόλη,Βάση
Βιολογικών Εφαρμογών και Τεχνολογιών,Ιωάννινα,18520
Επιστήμης Διαιτολογίας και Διατροφής,Αθήνα,18320
Επιστημών Διατροφής και Διαιτολογίας,Θεσσαλονίκη,18250
Βιοτεχνολογίας,Αθήνα,17775
Βιοχημείας και Βιοτεχνολογίας,Λάρισα,17670
Επιστήμης Διατροφής και Διαιτολογίας,Καλαμάτα,17220
Διαιτολογίας και Διατροφολογίας,Τρίκαλα,17185
Επιστήμης Τροφίμων και Διατροφής του Ανθρώπου,Αθήνα,17000
Επιστημών Διατροφής και Διαιτολογίας,Σητεία,16470
Επιστήμης Τροφίμων και Διατροφής,Λήμνος,16075
Γεωπονίας,Θεσσαλονίκη,15785
Μηχανικών Περιβάλλοντος,Ξάνθη,14950
Χημικών Μηχανικών και Μηχανικών Περιβάλλοντος,Χανιά,14550
Αξιοποίησης Φυσικών Πόρων και Γεωργικής Μηχανικής,Αθήνα,14425
Αγροτικής Οικονομίας και Ανάπτυξης,Αθήνα,13940
Περιβάλλοντος,Λάρισα,13790
Γεωπονίας - Αγροτεχνολογίας,Λάρισα,13390
Επιστήμης και Τεχνολογίας Τροφίμων,Θεσσαλονίκη,13390
Περιβάλλοντος,Ζάκυνθος,12950
Δασολογίας και Φυσικού Περιβάλλοντος,Θεσσαλονίκη,12430
Περιβάλλοντος,Μυτιλήνη,12380
"Δασολογίας, Επιστημών Ξύλου και Σχεδιασμού",Καρδίτσα,12140
"Γεωπονίας, Φυτικής Παραγωγής και Αγροτικού Περιβάλλοντος",Βόλος,12060
Επιστήμης και Τεχνολογίας Τροφίμων,Αιγάλεω,12060
Γεωπονίας,Θεσσαλονίκη,11960
Επιστήμης Φυτικής Παραγωγής,Αθήνα,11020
Γεωπονίας,Ηράκλειο,10800
Επιστήμης Τροφίμων και Διατροφής,Καρδίτσα,10660
Γεωπονίας,Φλώρινα,10190
Ωκεανογραφίας και Θαλασσίων Βιοεπιστημών,Μυτιλήνη,9930
Γεωπονίας,Άρτα,9840
Γεωπονίας,Καλαμάτα,9470
Αγροτικής Ανάπτυξης,Ορεστιάδα,9430
"Αγροτικής Ανάπτυξης, Αγροδιατροφής και Διαχείρισης Φυσικών Πόρων",Ψαχνά Εύβοιας,9290
Επιστήμης Ζωικής Παραγωγής,Αθήνα,9260
"Επιστημών Οίνου, Αμπέλου και Ποτών",Αιγάλεω,8980
Γεωπονίας,Μεσολόγγι,8890
Επιστήμης και Τεχνολογίας Τροφίμων,Καλαμάτα,8520
Επιστήμης Ζωικής Παραγωγής,Λάρισα,8430
Επιστήμης και Τεχνολογίας Τροφίμων,Αγρίνιο,8180
"Γεωπονίας, Ιχθυολογίας και Υδάτινου Περιβάλλοντος",Βόλος,7975
Δασολογίας και Διαχείρισης Περιβάλλοντος και Φυσικών Πόρων,Ορεστιάδα,7720
Αειφορικής Γεωργίας,Αγρίνιο,7430
Αμπελουργίας και Οινολογίας,Δράμα,7400
Επιστήμης και Τεχνολογίας Τροφίμων,Αργοστόλι,7150
Δασολογίας και Διαχείρισης Φυσικού Περιβάλλοντος,Καρπενήσι,6975
Φυσικού Περιβάλλοντος και Κλιματικής Ανθεκτικότητας,Δράμα,6930
Αλιείας και Υδατοκαλλιεργειών,Μεσολόγγι,6590
